,id,location,Zip,Type,Subtype,Price,Transaction Type,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
19589,10284696,koekelberg,1081,apartment,flat studio,110000,for sale,nan,34  m² square meters,Installed,No,nan,nan,2  m²  square meters,nan,nan,nan,4.0,nan,To be done up
19590,10262047,anh%C3%89e,5537,apartment,apartment,120000,for sale,2.0,nan,Not installed,nan,nan,nan,nan,nan,nan,nan,nan,nan,To renovate
19591,10448367,mouscron,7700,apartment,apartment,125000,for sale,2.0,99  m² square meters,Semi equipped,nan,nan,nan,nan,nan,nan,nan,nan,nan,To be done up
19592,10488051,ronse,9600,apartment,apartment,125000,for sale,2.0,102  m² square meters,Installed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19593,10452605,villers%20la%20ville,1495,apartment,apartment,135000,for sale,1.0,55  m² square meters,nan,No,nan,nan,nan,nan,nan,nan,2.0,No,nan
19594,10492196,diksmuide,8600,apartment,apartment,137500,for sale,1.0,66  m² square meters,nan,No,nan,nan,nan,nan,nan,nan,2.0,No,Good
19595,10443777,antwerpen,2000,apartment,apartment,139000,for sale,1.0,27  m² square meters,USA installed,Yes,nan,nan,nan,nan,nan,nan,1.0,No,As new
19596,10430322,oostende,8400,apartment,flat studio,140000,for sale,nan,38  m² square meters,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,nan
19597,10380157,hoboken,2660,apartment,apartment,144000,for sale,1.0,58  m² square meters,Installed,nan,nan,Yes,nan,Yes,nan,nan,2.0,nan,nan
19598,10368166,forest,1190,apartment,apartment,145000,for sale,1.0,47  m² square meters,Semi equipped,nan,nan,nan,nan,nan,nan,nan,2.0,nan,To renovate
19599,10550373,torhout,8820,apartment,apartment,154500,for sale,2.0,89  m² square meters,Installed,nan,nan,Yes,nan,nan,nan,nan,nan,nan,As new
19600,10354238,ohey,5350,apartment,duplex,155000,for sale,2.0,96  m² square meters,nan,nan,nan,Yes,nan,nan,nan,nan,2.0,nan,To be done up
19601,10543279,strombeek-bever,1853,apartment,ground floor,159000,for sale,nan,55  m² square meters,Installed,No,nan,nan,34  m²  square meters,nan,nan,nan,4.0,nan,nan
19602,10515001,qui%C3%89vrain,7380,apartment,apartment,165000,for sale,2.0,96  m² square meters,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan
19603,10418654,bruxelles,1020,apartment,apartment,169000,for sale,1.0,nan,Hyper equipped,No,nan,nan,nan,nan,nan,nan,2.0,No,As new
19604,10246785,ertvelde,9940,apartment,service flat,170000,for sale,1.0,70  m² square meters,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Good
19605,10464661,berchem-sainte-agathe,1082,apartment,apartment,175000,for sale,2.0,75  m² square meters,Semi equipped,nan,nan,nan,4  m²  square meters,nan,nan,nan,4.0,nan,To renovate
19606,10430762,niel,2845,apartment,ground floor,179000,for sale,1.0,73  m² square meters,Installed,nan,nan,Yes,nan,nan,nan,nan,nan,nan,nan
19607,10184015,qui%C3%A9vrain,7380,apartment,apartment,184980,for sale,2.0,107  m² square meters,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan
19608,10399085,zottegem,9620,apartment,apartment,185000,for sale,1.0,60  m² square meters,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,As new
19609,10043859,sint-eloois-winkel,8880,apartment,apartment,189000,for sale,2.0,nan,Installed,No,nan,nan,3  m²  square meters,nan,nan,nan,2.0,No,nan
19610,10545562,mons,7000,apartment,apartment,190000,for sale,2.0,80  m² square meters,Installed,No,nan,nan,nan,nan,nan,nan,2.0,No,nan
19611,9773303,qui%C3%A9vrain,7380,apartment,apartment,191275,for sale,2.0,114  m² square meters,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan
19612,10411616,forest,1190,apartment,apartment,195000,for sale,1.0,70  m² square meters,Installed,No,nan,nan,10  m²  square meters,nan,nan,nan,4.0,nan,nan
19613,10148581,gent,9000,apartment,apartment,198000,for sale,1.0,65  m² square meters,Installed,nan,nan,nan,nan,nan,nan,nan,nan,nan,As new
19614,10263890,anderlecht,1070,apartment,apartment,199000,for sale,2.0,72  m² square meters,USA hyper equipped,No,nan,nan,nan,nan,nan,nan,2.0,No,Good
19615,10260580,anderlecht,1070,apartment,apartment,199000,for sale,2.0,80  m² square meters,Installed,No,nan,nan,8  m²  square meters,nan,nan,nan,2.0,No,Good
19616,9362859,bornem,2880,apartment,apartment,199000,for sale,1.0,62  m² square meters,nan,nan,nan,Yes,nan,nan,nan,nan,nan,No,nan
19617,9362858,bornem,2880,apartment,apartment,199000,for sale,1.0,62  m² square meters,nan,nan,nan,Yes,nan,nan,nan,nan,nan,No,nan
19618,10535672,waregem,8790,apartment,apartment,199500,for sale,1.0,77  m² square meters,Installed,nan,nan,nan,7  m²  square meters,nan,nan,nan,nan,nan,nan
19619,10165483,antwerpen%20deurne,2100,apartment,apartment,199999,for sale,2.0,83  m² square meters,nan,nan,nan,Yes,nan,nan,nan,nan,2.0,nan,Good
19620,10483368,aartselaar,2630,apartment,apartment,200000,for sale,2.0,95  m² square meters,nan,nan,nan,nan,2  m²  square meters,nan,nan,nan,nan,nan,nan
19621,10537323,mechelen,2800,apartment,apartment,209000,for sale,2.0,nan,Installed,nan,nan,nan,4  m²  square meters,nan,nan,nan,2.0,No,To be done up
19622,9652849,bornem,2880,apartment,apartment,216000,for sale,1.0,62  m² square meters,nan,nan,nan,Yes,nan,nan,nan,nan,nan,No,nan
19623,9652848,bornem,2880,apartment,apartment,216000,for sale,1.0,62  m² square meters,nan,nan,nan,Yes,nan,nan,nan,nan,nan,No,nan
19624,10489059,nieuwpoort,8620,apartment,apartment,219000,for sale,1.0,50  m² square meters,Installed,No,nan,Yes,nan,Yes,nan,nan,nan,No,To be done up
19625,10461315,nieuwpoort,8620,apartment,apartment,219000,for sale,1.0,50  m² square meters,Installed,No,nan,Yes,nan,Yes,nan,nan,nan,No,To be done up
19626,10461191,nieuwpoort,8620,apartment,apartment,219000,for sale,1.0,50  m² square meters,Installed,No,nan,Yes,nan,Yes,nan,nan,nan,No,To be done up
19627,10539330,ooigem,8710,apartment,apartment,219182,for sale,2.0,105  m² square meters,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,Good
19628,10511106,ganshoren,1083,apartment,apartment,220000,for sale,2.0,75  m² square meters,Installed,No,nan,Yes,nan,nan,nan,nan,4.0,nan,nan
19629,10532488,stevoort%20%28hasselt%29,3512,apartment,service flat,225000,for sale,1.0,62  m² square meters,nan,No,nan,Yes,nan,nan,nan,nan,2.0,No,Good
19630,9830516,oostende,8400,apartment,apartment,225000,for sale,1.0,64  m² square meters,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19631,10539332,ooigem,8710,apartment,apartment,226782,for sale,2.0,110  m² square meters,nan,No,nan,nan,nan,nan,nan,nan,nan,nan,Good
19632,10506592,molenbeek-saint-jean,1080,apartment,apartment,229000,for sale,2.0,85  m² square meters,USA hyper equipped,nan,nan,nan,6  m²  square meters,nan,nan,nan,nan,No,Good
19633,10394874,strombeek-bever,1853,apartment,apartment,229000,for sale,1.0,74  m² square meters,nan,No,nan,nan,5  m²  square meters,nan,nan,nan,2.0,No,nan
19634,9935232,kessel,2560,apartment,apartment,229000,for sale,2.0,93  m² square meters,Installed,No,nan,nan,nan,nan,nan,nan,2.0,No,Just renovated
19635,10514188,sint-jans-molenbeek,1080,apartment,apartment,230000,for sale,2.0,73  m² square meters,Semi equipped,No,nan,nan,nan,nan,nan,nan,nan,nan,Good
19636,10308095,ath%20maffle,7810,apartment,apartment,230000,for sale,2.0,106  m² square meters,USA installed,No,nan,nan,5  m²  square meters,nan,nan,nan,3.0,nan,As new
19637,10485062,laeken,1020,apartment,apartment,235000,for sale,2.0,85  m² square meters,Installed,No,nan,nan,6  m²  square meters,nan,nan,nan,2.0,nan,nan
19638,10383252,nieuwpoort,8620,apartment,apartment,235000,for sale,3.0,152  m² square meters,Installed,No,nan,nan,nan,nan,nan,nan,2.0,nan,nan
