houses
City;locality;Type of property;Price;Bed rooms;Living Area;Fully equipped kitchen;Furnished;Terrace;Garden; Surface Area of the plot;Number of facade;Swimming pool;State of the building
uccle;;house;1,195,000 €;4;266 m²;USA installed;No;50  m²  square meters;1080  m²  square meters;10  m²  square meters;4;No;To be done up
bruxelles%20%201;;apartment-block;450,00 €;3;126 m²;Installed;No;23  m²  square meters;0;72  m²  square meters;4;;
uccle;;flat-studio;260,00 €;;44 m²;Installed;No;4  m²  square meters;0;;2;;
dendermonde;;apartment;230,00 €;1;68 m²;;No;39  m²  square meters;0;;3;No;Good
mechelen;;duplex;339,00 €;2;95 m²;;No;0;0;;2;No;Good
sint-kruis;;house;429,00 €;3;162 m²;Installed;;0;0;1260  m²  square meters;4;;
sint-kruis;;house;429,00 €;3;162 m²;Installed;;0;0;1260  m²  square meters;4;;
nalinnes;Bois du Cazier;house;340,00 €;4;230 m²;Hyper equipped;No;15  m²  square meters;700  m²  square meters;800  m²  square meters;3;;As new
charleroi;Bois du Cazier;house;340,00 €;4;230 m²;Hyper equipped;No;15  m²  square meters;700  m²  square meters;800  m²  square meters;3;;As new
brakel;;house;219,00 €;3;129 m²;;No;0;0;894  m²  square meters;3;;To restore
nevele;;villa;549,00 €;3;241 m²;;;0;0;827  m²  square meters;4;;To be done up
aalst;;house;269,00 €;4;204 m²;;;0;0;328  m²  square meters;3;;Good
ooigem;;house;499,00 €;6;318 m²;;No;0;0;699  m²  square meters;4;;Good
eghez%C3%A9e;;house;521,99 €;3;210 m²;Not installed;No;0;0;957  m²  square meters;4;;
oudenburg;;duplex;249,00 €;2;92 m²;;;0;0;;;;As new
leuven;;house;445,00 €;2;200 m²;;No;0;0;700  m²  square meters;4;;Good
waregem;;villa;585,00 €;5;220 m²;Installed;;0;0;729  m²  square meters;4;;Good
ninove;;penthouse;199,00 €;2;90 m²;Semi equipped;;0;0;;2;;Good
rixensart%20genval;Brabant Wallon;villa;an starting;3;112 m²;Installed;No;50  m²  square meters;897  m²  square meters;984  m²  square meters;4;No;To be done up
saint-gilles;;apartment-block;795,00 €;6;450 m²;Not installed;;0;12  m²  square meters;190  m²  square meters;2;No;To renovate
schaerbeek;Bruxelles Est;apartment-block;1,200,000 €;9;485 m²;USA installed;No;32  m²  square meters;58  m²  square meters;185  m²  square meters;2;No;As new
braine-le-comte;Chaussée notre Dame Louvignies;villa;725,00 €;6;315 m²;Hyper equipped;No;0;0;1588  m²  square meters;4;;Good
incourt;;villa;;4;279 m²;USA hyper equipped;;28  m²  square meters;2400  m²  square meters;2762  m²  square meters;4;No;As new
bruxelles;Bruxelles 9 Communes;flat-studio;129,00 €;;33 m²;Installed;No;0;0;;;No;Just renovated
aarschot;;exceptional-property;515,00 €;5;257 m²;Hyper equipped;No;0;0;520  m²  square meters;2;No;As new
anderlecht;;apartment-block;699,00 €;5;270 m²;Installed;;0;0;490  m²  square meters;2;;Good
destelbergen;;duplex;335,00 €;2;104 m²;Semi equipped;;0;0;;2;;Good
wetteren;Oost- Vlaanderen;bungalow;545,00 €;3;198 m²;Hyper equipped;;0;0;627  m²  square meters;4;No;As new
bruxelles;Saint-Josse;triplex;675,00 €;3;175 m²;Hyper equipped;;13  m²  square meters;0;;2;;Just renovated
waterloo;Waterloo;villa;an starting;4;151 m²;Installed;No;0;460  m²  square meters;544  m²  square meters;4;Yes;Good
wezembeek-oppem;;villa;975,00 €;5;340 m²;Hyper equipped;No;30  m²  square meters;300  m²  square meters;590  m²  square meters;4;No;Good
woluwe-saint-pierre;Est de Bruxelles + VL;villa;1,150,000 €;4;210 m²;Hyper equipped;No;12  m²  square meters;300  m²  square meters;592  m²  square meters;4;No;As new
dilbeek;;duplex;367,00 €;3;110 m²;Installed;;8  m²  square meters;0;;;No;As new
jette;;loft;369,00 €;3;145 m²;Installed;;0;0;;;No;As new
ixelles;Bruxelles (19 communes);duplex;620,00 €;2;115 m²;Hyper equipped;No;11  m²  square meters;0;;2;No;As new
aalst;Oost-Vlaanderen;duplex;379,00 €;4;129 m²;Installed;;8  m²  square meters;0;;3;No;As new
saint-gilles;Barrière de Saint-Gilles;apartment-block;655,00 €;7;266 m²;Installed;Yes;7  m²  square meters;0;60  m²  square meters;2;No;As new
wanferc%C3%A9e-baulet;;manor-house;70,00 €;2;91 m²;Semi equipped;;0;100  m²  square meters;250  m²  square meters;3;;To renovate
schaerbeek;Belgium;apartment-block;869,00 €;;350 m²;Hyper equipped;No;10  m²  square meters;0;200  m²  square meters;2;No;Good
forest;;duplex;275,00 €;2;135 m²;Semi equipped;No;10  m²  square meters;0;;2;No;To be done up
etterbeek;bruxelles;duplex;329,00 €;2;85 m²;Installed;No;0;0;;3;No;Just renovated
hulste;;villa;920,00 €;5;450 m²;Hyper equipped;;0;0;1336  m²  square meters;4;;As new
knokke-heist%20knokke;Knokke;villa;2,795,000 €;4;298 m²;Hyper equipped;No;0;0;455  m²  square meters;4;No;As new
leuven;;flat-studio;198,00 €;;25 m²;Semi equipped;Yes;0;0;;2;;Good
forest;;apartment-block;499,00 €;4;330 m²;Not installed;No;1  m²  square meter;15  m²  square meters;150  m²  square meters;2;No;To renovate
saint-josse-ten-noode;Saint-Josse;triplex;675,00 €;3;175 m²;Hyper equipped;;13  m²  square meters;0;;2;;Just renovated
braine-l%27alleud;;villa;1,450,000 €;6;550 m²;Hyper equipped;No;0;0;4000  m²  square meters;4;Yes;To renovate
dison%20andrimont;;house;125,00 €;3;130 m²;;No;0;30  m²  square meters;85  m²  square meters;2;;To renovate
marche-en-famenne;;house;169,50 €;3;105 m²;;No;0;0;60  m²  square meters;3;;Good
houffalize;;house;349,00 €;4;198 m²;;No;12  m²  square meters;1209  m²  square meters;1363  m²  square meters;4;;Good
liege;Liège;house;389,00 €;5;170 m²;Semi equipped;No;50  m²  square meters;200  m²  square meters;315  m²  square meters;2;No;Good
courcelles%20trazegnies;;house;an starting;3;114 m²;Installed;;34  m²  square meters;204  m²  square meters;281  m²  square meters;2;;Good
schoten;;apartment;479,00 €;2;115 m²;Hyper equipped;;18  m²  square meters;0;;2;;
schoten;;apartment;445,00 €;3;116 m²;Hyper equipped;;22  m²  square meters;0;;3;;Good
antwerp;;apartment;315,00 €;3;98 m²;Hyper equipped;No;4  m²  square meters;0;;2;;As new
retie;;house;299,00 €;3;;;;0;0;383  m²  square meters;4;;Good
tremelo;;apartment;319,00 €;2;71 m²;Hyper equipped;No;10  m²  square meters;0;;3;No;As new
turnhout;;mixed-use-building;365,00 €;3;236 m²;;;0;0;219  m²  square meters;2;;Good
braine-le-comte;Hainaut;other-property;an starting;3;189 m²;;No;0;149  m²  square meters;;2;No;Good
braine-le-chateau;Brabant Wallon;house;an starting;6;292 m²;;No;0;0;12730  m²  square meters;4;Yes;To be done up
braine-le-ch%C3%83teau%20wauthier-braine;;house;an starting;5;175 m²;;;0;0;2030  m²  square meters;4;;To renovate
ninove;;house;270,00 €;4;185 m²;;;12  m²  square meters;60  m²  square meters;180  m²  square meters;2;;Good
