id,Neighbourhood or locality,location,Zip,Type,Subtype,Price,Transaction Type,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
10523793,,nieuwpoort,8620,apartment,apartment,525000,for sale,2.0,80  m² square meters,Hyper equipped,,,,,,,,,No,As new
10519763,,nieuwpoort,8620,apartment,apartment,525000,for sale,2.0,80  m² square meters,Hyper equipped,,,,,,,,,No,As new
9863734,,antwerpen,2000,apartment,apartment,545000,for sale,4.0,200  m² square meters,,,,,120  m²  square meters,,,,4.0,,
10071377,,ieper,8900,apartment,penthouse,555000,for sale,3.0,176  m² square meters,USA installed,No,,,,,,,,No,
10513439,,gent,9000,apartment,apartment,565000,for sale,3.0,137  m² square meters,,,,Yes,,,,,,No,
10528921,,kontich,2550,apartment,apartment,599000,for sale,2.0,150  m² square meters,Installed,No,,,74  m²  square meters,,,,,,As new
10536913,,knokke,8300,apartment,apartment,599000,for sale,2.0,90  m² square meters,Hyper equipped,Yes,,,5  m²  square meters,,,,2.0,,As new
10322829,,ixelles,1050,apartment,apartment,610000,for sale,3.0,115  m² square meters,USA hyper equipped,,,Yes,,,200  m²  square meters,,,,
10493803,,wenduine,8420,apartment,duplex,621500,for sale,2.0,103  m² square meters,Hyper equipped,No,,Yes,,Yes,,,,,
10456443,,schaerbeek,1030,apartment,apartment,623000,for sale,3.0,140  m² square meters,Installed,,,,,,80  m²  square meters,,1.0,No,Just renovated
10414709,,oostduinkerke,8670,apartment,apartment,635000,for sale,2.0,83  m² square meters,,,,Yes,,Yes,,,,No,As new
10498378,,antwerp,2000,apartment,apartment,639900,for sale,2.0,145  m² square meters,Installed,No,,,10  m²  square meters,,,,,,As new
10486415,,knokke,8300,apartment,apartment,669000,for sale,3.0,93  m² square meters,Hyper equipped,No,,,5  m²  square meters,,,,2.0,,As new
10069009,,knokke,8300,apartment,apartment,669000,for sale,3.0,94  m² square meters,Hyper equipped,No,,,7  m²  square meters,,,,2.0,,Good
10251510,,knokke-zoute,8300,apartment,apartment,675000,for sale,2.0,,Hyper equipped,,,,,,,,3.0,No,As new
10250846,,knokke,8300,apartment,apartment,675000,for sale,2.0,55  m² square meters,Hyper equipped,Yes,,,,,,,2.0,,As new
10085336,,knokke-heist,8300,apartment,apartment,675000,for sale,2.0,55  m² square meters,,,,,,,,,,,Good
9961519,,uccle,1180,apartment,apartment,695000,for sale,3.0,226  m² square meters,Not installed,No,1.0,,,,,,2.0,,As new
10479552,,knokke,8300,apartment,apartment,695000,for sale,2.0,74  m² square meters,Hyper equipped,Yes,,,4  m²  square meters,,,,2.0,,As new
10491480,,knokke,8300,apartment,apartment,699000,for sale,3.0,95  m² square meters,Hyper equipped,No,,,7  m²  square meters,,,,2.0,,As new
10430700,,leuven%20heverlee,3001,apartment,penthouse,735000,for sale,3.0,175  m² square meters,USA hyper equipped,,,,35  m²  square meters,,,,3.0,,As new
10343412,,antwerp,2000,apartment,apartment,790000,for sale,2.0,224  m² square meters,Hyper equipped,,,,,,,,,,
10508312,,knokke,8300,apartment,apartment,795000,for sale,2.0,85  m² square meters,Hyper equipped,Yes,,Yes,,Yes,,,2.0,No,As new
10455280,,antwerp,2000,apartment,apartment,895000,for sale,3.0,196  m² square meters,,,,Yes,,,,,,,
10385623,,knokke-heist,8300,apartment,penthouse,895000,for sale,2.0,60  m² square meters,,,,,,,,,,,Good
10288571,,knokke-heist,8300,apartment,apartment,895000,for sale,2.0,60  m² square meters,,,,Yes,,Yes,,,,No,
10281404,,knokke,8300,apartment,penthouse,895000,for sale,2.0,60  m² square meters,Hyper equipped,No,,Yes,,,,,2.0,,As new
10079800,,knokke-heist,8300,apartment,penthouse,895000,for sale,2.0,60  m² square meters,,,,,40  m²  square meters,,,,,,Good
10488119,,oostende,8400,apartment,ground floor,895000,for sale,3.0,110  m² square meters,Installed,,,,,,130  m²  square meters,,3.0,No,As new
10420358,,antwerp,2018,apartment,apartment,935000,for sale,2.0,245  m² square meters,USA hyper equipped,,,,40  m²  square meters,,,,,,
10335355,,antwerp%201,2018,apartment,apartment,935000,for sale,2.0,245  m² square meters,Installed,,,,45  m²  square meters,,,,2.0,,As new
10058236,,knokke,8300,apartment,apartment,975000,for sale,6.0,216  m² square meters,Installed,No,,,,Yes,,,2.0,No,As new
10007850,,duinbergen,8301,apartment,apartment,975000,for sale,6.0,216  m² square meters,Installed,No,,,,Yes,,,2.0,No,As new
10541467,,ixelles,1050,apartment,apartment,1080000,for sale,4.0,300  m² square meters,,No,,,,,,,2.0,,To be done up
9880866,,uccle,1180,apartment,ground floor,1100000,for sale,4.0,244  m² square meters,Hyper equipped,No,,Yes,,,,,3.0,No,Good
10493849,,knokke,8300,apartment,apartment,1150000,for sale,3.0,116  m² square meters,,,,,,,,,,No,
10450886,,knokke-zoute,8300,apartment,apartment,1175000,for sale,2.0,76  m² square meters,Hyper equipped,,,Yes,,,,,2.0,No,
10346191,,knokke-heist,8300,apartment,apartment,1175000,for sale,2.0,72  m² square meters,,,,,,,,,,,Just renovated
10375521,,geraardsbergen,9500,apartment,apartment,1195000,for sale,10.0,893  m² square meters,,,,,,Yes,,,,,As new
10505726,,knokke,8300,apartment,apartment,1350000,for sale,2.0,75  m² square meters,,,,,,,,,,,Good
10537512,,knokke-heist,8300,apartment,apartment,1595000,for sale,2.0,100  m² square meters,,,,Yes,,,,,2.0,,Good
10442259,,knokke,8300,apartment,apartment,1850000,for sale,3.0,125  m² square meters,Hyper equipped,No,,,,,,,2.0,,As new
